,loss,accuracy,val_loss,val_accuracy
0,8.083885192871094,0.005244755186140537,5.086508750915527,0.015625
1,6.56614351272583,0.010489510372281075,5.043095588684082,0.046875
2,5.840958595275879,0.01923076994717121,5.036389350891113,0.0625
3,5.543239116668701,0.036713287234306335,5.00068473815918,0.078125
4,5.381516933441162,0.04020978882908821,4.97216796875,0.09375
5,5.2924723625183105,0.04720279574394226,4.948265552520752,0.09375
6,5.138705253601074,0.04720279574394226,4.92673921585083,0.09375
7,5.148627281188965,0.05244755372405052,4.909239768981934,0.03125
8,5.1084208488464355,0.06293706595897675,4.856257438659668,0.09375
9,4.994443416595459,0.06643356382846832,4.820137977600098,0.078125
